id;subject;question_text;option_a;option_b;option_c;option_d;correct_answer;feedback;level_label;concept_id;concept_confidence
05019f8d-b580-402f-b091-42086691ced6;A3 Financing;APR defined by Truth-in-Lending;Cost paid each year including fees;Total direct costs, variable rate;Only indirect costs, excluding fees;All costs including closing costs;A;APR includes interest and fees expressed as an annual percentage of borrowing cost.;easy;A3.amortization_interest;0.97
96d4c3dc-cc48-437b-a24d-4f22ee506203;A3 Financing;Seller under land contract;Vendor;Vendee;Grantor;Grantee;A;"The seller in a land contract is called the vendor; buyer is the vendee.";easy;A3.mortgage_basics;0.99
7e41a1a0-5e9e-4381-85fd-fecbf401d76e;A3 Financing;Discount points on VA/FHA loan;Sales price;Loan amount;Down payment;Appraised price;B;Discount points are a percentage of the loan amount, not the sales price.;easy;A3.loan_types_fha_va;0.97
c488f227-e90b-4b28-93a3-e4d7271a357e;A3 Financing;Effect of increased money availability;No effect (TILA);Interest rates go up;No effect (RESPA);Interest rates go down;D;More money in the market lowers interest rates due to supply and demand.;easy;A3.amortization_interest;0.97
77cb6c6d-b75a-4ce7-9cfd-1bb8b27086b9;A3 Financing;True of a second mortgage;Usually higher interest;Priority over first mortgage;Cannot be security;Not negotiable;A;Second mortgages are riskier for lenders, so interest rates are higher.;easy;A3.mortgage_basics;0.98
9516f416-3b1b-45fa-8fe5-2882d2576095;A3 Financing;Usury means;Loans without co-signers;Capable of multiple usage;Fluctuating rates;Charging illegally high interest;D;Usury is charging more than the legal maximum interest rate.;easy;A3.amortization_interest;0.99
98cd6e0b-c6d0-404e-a941-1f8e4c7fad12;A3 Financing;Mortgage requiring principal + interest in installments;Amortized loan;Assemblage loan;Annuity loan;Acceleration loan;A;Amortized loans are repaid with regular principal and interest payments.;easy;A3.mortgage_basics;0.97
db48d55f-ecfd-46d9-9f15-3571a044d1f8;A3 Financing;Primary purpose of Truth in Lending;Control costs to close;Disclose true costs of credit;Disclose only FHA costs;Control interest rates;B;Regulation Z ensures borrowers know the total cost of credit.;easy;A3.loan_types_fha_va;0.97
aa31931e-6bb1-458c-ae87-90f42bb61ae4;A3 Financing;Recording an instrument gives;Actual notice;Passive notice;Positive notice;Constructive notice;D;Recording provides constructive notice to the public of a property interest.;easy;A3.mortgage_basics;0.99
38cdbf96-4e4f-47fb-9699-d10aaccb444f;A3 Financing;A promissory note;Government guarantee;Primary evidence of debt;Agreement to perform acts;Not executed with real estate loans;B;The note is the main evidence that a debt exists.;easy;A3.mortgage_basics;0.97
af7d4d01-b7c2-4ca3-81d9-2f84ffd49086;A3 Financing;Loan amount as % of property value;Amortization ratio;Debt to equity ratio;Loan-to-value ratio;Capital use ratio;C;LTV measures the loan as a percentage of collateral value.;easy;A3.mortgage_basics;0.97
fce8b1ca-62f8-49cf-b833-d3d22134eef2;A3 Financing;Least concern about state economy;Restaurant;Medical building;Hardware store;House;B;Medical buildings rely less on general economic conditions.;easy;A3.investment_principles;0.97
49426939-2d8f-42e9-8407-d1af4606df69;A3 Financing;Liquidation of debt in installments;Acceleration;Condemnation;Amortization;Conveyance;C;Amortization is repayment of a debt over time in regular installments.;easy;A3.amortization_interest;0.97
18890793-7395-47d1-8954-731b4b58a865;A3 Financing;Payment allocation in level-payment amortized loan;Principal increases, interest decreases;Principal decreases, interest increases;Principal decreases constant;Principal increases constant;A;Each payment reduces principal more over time while interest decreases.;easy;A3.amortization_interest;0.97
e0e32fbe-e075-41f1-a969-4df37ace14bc;A3 Financing;Home loan interest;Discount interest;Compound interest;Simple interest;Annuity interest;C;Most mortgages charge simple interest on outstanding principal.;easy;A3.mortgage_basics;0.97
8e0d1561-1793-4ef1-8e21-7e1f833621e3;A3 Financing;Note paying only interest;Installment note;Amortized note;Void;Straight note;D;"Straight note requires only interest payments; principal due at maturity.";easy;A3.amortization_interest;0.97
20eb3171-2032-422d-a96c-7cbbc5f35aff;A3 Financing;Balloon payment definition;10th payment on 30-year;Entire balance due at end;Interest due before first installment;Payment to avoid prepayment penalty;B;Balloon payment is a lump sum due at the end of partially amortized loan.;easy;A3.amortization_interest;0.97
10a89451-8775-4321-bb7b-968e2de67f15;A3 Financing;Release clause in mortgage;Releases guarantor;Frees portions of property;Creates lien second to taxes;Option to extend due date;B;Release clause allows part of property to be freed upon partial payment.;easy;A3.mortgage_basics;0.97
7c7f7caa-1edb-40ac-ac4d-d1e91182fba0;A3 Financing;Employment & GNP rise;All other choices correct;Personal income rises;New residential developments increase;Sales of existing homes increase;A;All listed outcomes occur with rising employment and GNP.;easy;A3.general;0.45
e4035acc-46f6-4d82-a3d2-55c629fb61fa;A3 Financing;TILA exemption;$20k signature loan;Agricultural loan;VA loan from S&L;$25k credit union loan;B;Agricultural loans are exempt from TILA disclosure requirements.;easy;A3.loan_types_fha_va;0.97
86f69e88-3f3a-4c5d-a303-96df96dc0697;A3 Financing;Cost of credit expressed as;Maximum % rate;Minimum % rate;Monthly % rate;Annual % rate;D;Truth-in-Lending requires disclosure of APR for credit cost.;easy;A3.amortization_interest;0.97
4ed5f938-b8ee-4501-bb7d-e0af47d13d22;A3 Financing;Mortgage loan insurance provider;VA;FNMA;GNMA;FHA or private insurer;D;FHA and private mortgage insurers provide mortgage insurance.;easy;A3.loan_types_fha_va;0.98
567d16e4-9262-40ba-af88-97106096f6cb;A1 Real Property;The recording of a deed:;Warrants the title to real property;Insures the interest in a parcel of real estate;Gives constructive notice of the ownership of real property;Is all that is required to transfer the title to real estate;C;Recording a deed does not convey, insure, or warrant ownership. However, it does protect the owner's interest in a property by serving notice that the recorded owner is the only recognized holder of title. This places a larger burden of proof and process on someone trying to assert a prior ownership interest and/or claiming a deed holder's title is clouded.;medium;A1.real_vs_personal_property;0.95
2aaac58c-d688-4c9e-a5f5-872a5d085abc;A1 Real Property;On a closing statement in a typical real estate transaction, the buyer's earnest money deposit is reflected as a:;Credit to the seller and a debit to the buyer;Credit to the buyer;Bill of sale;Debit to the buyer only;B;Debits are costs and credits represent funds deposited. Earnest money deposits are generally considered a credit towards the buyer's purchase of the property, unless it is a situation where the earnest money is returned to the buyer.;easy;A1.general;0.45
94e0349f-f1ef-45c6-9643-6acafe3480c8;A1 Real Property;What agency relationship do a property manager and property owner typically have?;Dual agency;General agency;Special agency;Limited partnership;B;Since a property manager makes decisions on behalf of the owner, such as tenant selection, budget preparation, and employee relations, the property manager is a general agent.;easy;A1.general;0.45
2bf94a58-b2cb-4da4-aaaa-9d5ff807c905;A1 Real Property;A type of leasehold estate in which a tenant stays in possession of a property after the lease has expired is called what?;Estate at sufferance;Fee simple estate;Life estate;Qualified fee estate;A;Estate at sufferance is a type of leasehold estate in which a tenant stays in possession of a property after the lease has expired or been legally terminated without the consent of the owner/landlord.;easy;A1.estates_freehold_leasehold;0.98
bce6f310-2918-4e3a-b31f-bc9c9647b059;A1 Real Property;The ownership of land for the duration of a person's life is called what?;A fee simple estate;Adefeasible fee estate;A life estate;Estate at will;A;"A life estate is the ownership of land for the duration of a person's life. In legal terms, it is an estate in real property that ends at death when ownership of the property may revert to the original owner, or it may pass to another person called the ""remainderman.""";easy;A1.estates_freehold_leasehold;0.99
40439fa9-805d-416f-9249-c5994428f371;A1 Real Property;Sisters Rachel and Lani own property together. They own unequal shares of the property, and when either person dies, their children will inherit the property. How do Rachel and Lani most likely hold title?;Joint tenancy ;Community property;As tenants in common;Tenancy of the entirety;C;Tenants in common can own unequal shares of a property, have an undivided interest in the property, and they have the right of inheritance, not survivorship.;easy;A1.forms_of_ownership_jt_tic_tbe;0.99
6ff24711-6ecf-4e65-94b1-9fd091e6130b;A1 Real Property;Police powers include:;Zoning;Taxation;Restrictive covenants;Deed restrictions;A;Zoning is a proper function of a municipality's police power. Police power is defined as the power to regulate a municipality for the advancement and protection of the health, morals, safety, or general welfare of the community as a whole.;easy;A1.encumbrances_easements_liens;0.97
593255d8-1e91-4cf6-a317-f20640a5149e;A1 Real Property;"The ""secondary mortgage market"" refers to the market where:";Conventional loans are originated;Existing loans are bought and sold;FHA loans are originated;Secondary financing may be obtained;B;The secondary mortgage market is where home loans and servicing rights are bought and sold between lenders and investors. Most home loans in the U.S. are eventually sold to the secondary mortgage market. When a consumer obtains a home loan, that loan is underwritten, funded, and serviced by a bank or lending institution.;easy;A1.general;0.45
216002f5-8824-4bc3-b22a-0e922cfee52f;A1 Real Property;TILA/RESPA Integrated Disclosure (TRID) rules require lenders to provide which document to potential borrowers within three business days of applying for credit?;Closing disclosure (CD) ;Settlement statement ;FICO score;Loan estimate (LE);D;TILA/RESPA Integrated Disclosure (TRID) rules require lenders to provide a Loan Estimate (LE) to potential borrowers within three business days of applying for credit.;easy;A1.general;0.45
45a4be96-d9f9-420c-8e2d-4ad1967f8073;A1 Real Property;The clause in a mortgage, contract, or trust deed which allows the lender to call the entire unpaid balance upon default is called what?;Balloon payment clause ;Cancellation clause;Defeasance clause;Acceleration clause;D;An acceleration clause — or acceleration covenant — in the law of contracts is a term that fully matures the performance due from a party upon a breach of the contract. Such clauses are most prevalent in mortgages and similar contracts to purchase real estate in installments.;easy;A1.encumbrances_easements_liens;0.95
dceae108-e9c6-40c4-8388-20b91eeede1b;A1 Real Property;The minimum downpayment for an FHA loan is what?;35 %;1 %;20 %;76 %;A;The minimum down payment to qualify for an FHA loan is 3.5%.;easy;A1.general;0.45
f441e670-036f-48fd-b62a-9d1b896dc4fe;A1 Real Property;Oscar and Susan are next-door neighbors. Susan told Oscar that he could store his camper in her yard for a few weeks until she needed the space. Susan did not charge Oscar rent for the use of her yard. Susan gave Oscar a(n) what?;License;Estate inland;Easement by necessity;Easement appurtenant;A;Granting the use of property for a defined period for a specific purpose is almost always a form of licensing. Easements grant only access, not ownership, use, or occupancy rights. Further, that access is generally for the benefit of the property owner, such as maintaining utilities or sidewalks.;easy;A1.encumbrances_easements_liens;0.96
1cbf7d6a-1875-4682-ba14-52c02049d4d1;A1 Real Property;Which of the following is a specific, involuntary lien?;An estate tax lien ;An income tax lien ;A real estate property tax lien;Ajudgment lien;A;"A real estate property tax lien is always on a specific piece of real estate; it happens without the permission of the property owner and so is involuntary. Income tax liens, estate tax liens, and judgment liens are general, as they are levied against both personal and real property owned by a debtor but do not take priority over other liens.";easy;A1.encumbrances_easements_liens;0.95
783d553b-7623-49ca-a7ba-cb0d3aa0c54c;A2 Real Property;Two owners have separate deeds but equal ownership. What form of ownership is this?;Joint tenants;Tenants in common;Tenants by entirety;Lessor and lessee;B;Tenants in common allows each owner to hold a separate deed while sharing ownership.;easy;A2.environmental_regulations;0.97
10b3fbc7-6ee8-4b77-8fc2-a3d894f830f1;A5 Real Estate Math;Madison Davidson negotiated for a $30,000 loan with $400 monthly payments and a 9 percent interest charge. What is her first month's interest payment?;$425;$450;$205;$225;D;First, multiply $30,000 by .09 (same as 9%) to find the total annual interest paid- $2,700. Divide $2,700 by 12 (number of months in a year) to get the interest payment of $225 for the first month.;hard;A5.math_commission_proration;0.97
3589a8c7-2066-4de9-8539-6d6e91b182ce;A3 Financing;FHA primarily created to;Provide insurance to approved lenders;Provide secondary mortgage market;Insure all home equity loans;Insure borrowers;A;FHA insures lenders against losses, facilitating home loans.;easy;A3.loan_types_fha_va;0.97
449c82fc-b7a5-40e4-9f1f-9f436244b30e;A1 Real Property;The priority of liens refers to which of the following?;The order in which a debtor assumes responsibility for payment of  obligations;The order in which liens will be paid if property is sold to satisfy a debt;The fact that specific liens have greater priority than general liens;The dates liens are recorded;B;"The priority of liens refers to the order in which claims against the property will be paid off. In general, the rule for priority of liens is ''first in time, first in line."" The priority is created by the recording date, but property taxes and special assessments are exceptions to the rule, as they take priority over all other liens regardless of when the liens were recorded.";medium;A1.encumbrances_easements_liens;0.95
499fe537-5772-4b39-b9db-860629e78176;A3 Financing;Home loan without down payment;GNMA;FHA;Conventional;VA;D;VA loans require no down payment for eligible veterans.;easy;A3.loan_types_fha_va;0.99
4c98e18e-72b8-4761-89ca-6368cde2c49c;A3 Financing;Limited partners;May use name in business;Not responsible beyond investment;Must have two general partners;May participate in management;B;"Limited partners are liable only up to their investment; cannot manage.";easy;A3.investment_principles;0.95
6be19c4d-4532-49be-83ea-5a7a986394c6;A1 Real Property;The act of replacing an existing contract with a new one is called what?;Assignment;Hypothecation;Alienation;Novation;D;The act of replacing an existing contract with a new one is called novation. It's where one contract is replaced with another. Assignment is when a new person takes over an existing contract without creating a new contract.;easy;A1.encumbrances_easements_liens;0.95
4c2d57a3-d08f-41c9-a6d0-bfe9f37546c6;A3 Financing;Shell space lease landlord spending;Rent abatement;Tenant improvement allowance;Security deposit;Earnest money;B;TI allowance is funds landlord provides to improve leased shell space.;easy;A3.general;0.45
c828055a-3044-4185-b638-7c207d915978;A3 Financing;Property value minus liens;Collateral;Equity;Down payment;Actual cash value;B;Equity is the owner’s stake in property after liens are subtracted.;easy;A3.mortgage_basics;0.97
7cc54966-feab-4810-a412-950ebb505387;A3 Financing;Clause accelerating loan if property alienated;Right to sell;Variable interest rate;Prepayment;Due-on-sale;D;Due-on-sale clause requires full loan repayment upon property sale.;medium;A3.amortization_interest;0.97
d9cbf734-e5c8-4329-b985-e73750aa44cb;A1 Real Property;Which of these would the statute of frauds require to be in writing?;A contract for Jim to mow May's lawn; A contract to sell a condo; An agreement to sell a dozen cookies ;An unspoken agreement for a customer to pay for their meal at a restaurant;A;Yes, the statute of frauds requires sales of real property to have contracts in writing.;medium;A1.condos_coops_pud;0.96
fc732321-80a3-4808-b1c0-bb227de54ac6;A1 Real Property;A broker receives a full-price offer on a house he has listed in accordance with the terms of the listing. Before he can present the offer, another broker brings in an offer with slightly better terms, but for $500 less. The listing broker should:;Present both offers at the same time.;Tell the other broker the property has been sold;Refuse to accept the second offer;Wait until the seller makes a decision on the first offer before presenting the second;A;Even though it's tempting to favor his own offer, it is the listing broker's fiduciary duty to present both offers. Since the broker hasn't presented his own offer yet, he should present both offers to the seller during the same conversation.;easy;A1.general;0.45
1d193474-5d28-4ed7-9917-d1a9a4ba8078;A1 Real Property;Most real estate contracts contain pre-printed clauses or spaces for information to be added in writing. When interpreting such contracts:;Pre-printed parts take precedence over the written parts.;The written parts and the pre-printed parts are given equal consideration;The written parts take precedence over the pre-printed parts;No changes or amendments to the pre-printed clauses are permitted by law;C;The pre-printed parts are often generic so that they can apply to many different situations, but anything handwritten is specific to a particular transaction. If there is a conflict between the written and pre-printed parts of a contract, handwritten parts are given priority over pre-printed parts.;easy;A1.general;0.45
25e9a070-e119-4bb7-9c8f-b7bd940f2ec9;A1 Real Property;An appraiser was contracted to determine the value of a large apartment building for a potential investor client. Which appraisal method is the MOST useful for this type of property?;Cost approach;Income approach ;Sales comparison approach ;Square foot method;B;The income approach is one of three major groups of methodologies, called valuation approaches, used by appraisers. It is particularly common in commercial real estate appraisal and in business appraisal. It uses the income a property currently or potentially could generate to determine value.;medium;A1.encumbrances_easements_liens;0.95
bdaf7af0-fe16-49ff-a1dd-97aa6d8f1d7e;A3 Financing;Charging higher than legal interest;Graft;Compounding;Usury;Discounting;C;Usury is charging interest above the legal maximum.;medium;A3.amortization_interest;0.98
8fcf69bf-5639-4169-bf67-3b258e445c06;A3 Financing;A lender is required under the Truth-in-Lending Act (Regulation Z) to furnish an applicant for a real estate loan with a(n):;Financial statement;Disclosure statement;Amortization schedule;Deed;B;Regulation Z requires lenders to give a disclosure statement showing APR, finance charges, and other loan terms.;easy;A3.amortization_interest;0.98
e5f50f96-25c0-4589-8631-cce770388464;A3 Financing;A CORRECT statement about the Federal National Mortgage Association (FNMA) is that it:;Purchases certain mortgages originated by lending institutions;Is the nation's central bank;Insures mortgages through fees;Provides guarantees to lenders;A;Fannie Mae buys mortgages from lenders, providing liquidity in the primary mortgage market.;easy;A3.loan_types_fha_va;0.97
cc8b9643-b226-456f-87fa-78689c82e7e7;A3 Financing;Which clause puts an existing mortgage below a later-recorded mortgage?;Subordination clause;Assumption clause;Prepayment clause;Exculpatory clause;A;Subordination clauses allow a later mortgage to take priority over an existing one.;easy;A3.mortgage_basics;0.98
d1f4e41d-4d31-4a74-8dea-a079d9bd2626;A1 Real Property;Which one of the following do asset managers oversee?;Groups of properties;Groups of investors;Tenants;Landlords;A;Asset managers oversee groups of investment properties or portfolios;easy;A1.general;0.45
c21f787f-7077-4537-8805-632692af26fd;A3 Financing;Pledging a freestanding stove and refrigerator as security in addition to real property is a:;Open mortgage;Package mortgage;Blanket mortgage;Wraparound mortgage;B;Package mortgages include both real property and personal property like appliances.;medium;A3.mortgage_basics;0.97
3a0defcc-b86a-4e5d-b211-6d36144eadb2;A3 Financing;A loan with interest rate increases and decreases during its term is a:;Graduated-payment loan;Reverse-annuity loan;Equity sharing;Adjustable-rate mortgage;D;ARMs have interest rates that adjust periodically based on an index.;easy;A3.mortgage_basics;0.97
fed36214-7e4d-4386-950a-7a045ea34949;A3 Financing;Recovering title to property lost through foreclosure is called:;Reclamation;Reparation;Restitution;Redemption;D;Redemption allows the borrower to regain ownership after foreclosure.;easy;A3.general;0.45
7c3f26b6-c2fa-4b4c-87a8-b01212c445e0;A3 Financing;If buyers purchase a home for $142,500 with 100% financing, the loan is likely:;VA-guaranteed;FHA-insured;Conventional;Wraparound;A;VA loans often require no down payment and are guaranteed by the VA.;easy;A3.loan_types_fha_va;0.99
8240f9e5-d663-408d-803c-84279a19c583;A3 Financing;Capital gain on sale of a principal residence is calculated by:;Subtracting adjusted cost basis from net sales price;Subtracting sales price from purchase price;Subtracting selling expenses from purchase price;Subtracting selling expenses from sales price;A;Capital gain = net sales price – adjusted cost basis.;easy;A3.amortization_interest;0.98
2e56f02b-754c-49cb-858b-01b611cb3437;A3 Financing;Tax credits are usually not available for:;Low-income housing;Historic property restoration;Rehabilitation of older buildings;New ventures running at a loss;D;Credits target community improvements, not new business losses.;easy;A3.general;0.45
f138946f-b583-4f5a-8808-a761a8bb7c36;A3 Financing;Lenders who deal directly with borrowers make up the:;The Fed;Primary mortgage market;Savings and loan;Secondary mortgage market;B;Primary market lenders originate loans directly to borrowers.;easy;A3.mortgage_basics;0.97
76417624-29bf-427b-8e62-33c2b579d0a1;A3 Financing;Which expense is tax deductible for homeowners?;Utility payments;Mortgage interest;Pest control;Addition of a pool;B;Homeowners can deduct mortgage interest (and property taxes).;easy;A3.mortgage_basics;0.97
b4284622-e368-467c-b23c-c54419d117f4;A3 Financing;Jones owns a house, cottage, and woodland. Deductible on all three:;Property taxes;Mortgage interest;Both mortgage interest and property taxes;Insurance premiums;A;Property taxes are deductible for all real estate holdings.;medium;A3.mortgage_basics;0.97
bd4e686e-2e26-4af2-960f-19a83135d4e2;A3 Financing;Credit lenders may not discriminate on age unless the borrower is:;Minors;Out-of-state buyers;Parents;Part-time workers;A;The Equal Credit Opportunity Act allows age consideration only for minors.;easy;A3.general;0.45
46f3c776-1582-4439-b26f-a3679a3b3dda;A3 Financing;Paying extra points to lower interest rate is called a:;Buydown;Cap rate;Absolute clause;None;A;A buydown involves paying points upfront to reduce interest.;easy;A3.amortization_interest;0.98
936e40cb-0fd0-482c-96a7-8b5a2b2e99e3;A3 Financing;Mortgage payments less than required to cover interest/principal risk:;Graduated payments;Negative amortization;Equity sharing;Conversion of mortgage;B;Negative amortization increases loan balance because payments are insufficient.;medium;A3.mortgage_basics;0.97
2f4b20f6-d631-4dc7-927a-0ea46e4fe961;A3 Financing;Homeowners may NOT deduct:;Property taxes;Depreciation and maintenance;Mortgage interest;Points on purchase mortgage;B;Depreciation/maintenance are not deductible for personal residences.;medium;A3.mortgage_basics;0.97
